지점번호,지점명,일시,평균습도(%rh),최저습도(%rh)
108,서울,2018-03-10,65.8,30
108,서울,2018-03-11,51.3,19
108,서울,2018-03-12,45.8,30
108,서울,2018-03-13,60.5,39
108,서울,2018-03-14,58.8,37
108,서울,2018-03-15,92.1,67
108,서울,2018-03-16,46.9,29
108,서울,2018-03-17,48,22
108,서울,2018-03-18,55.9,28
108,서울,2018-03-19,64.5,41
108,서울,2018-03-20,39.9,32
108,서울,2018-03-21,64.1,33
108,서울,2018-03-22,61.5,27
108,서울,2018-03-23,55.3,19
108,서울,2018-03-24,61.9,38
108,서울,2018-03-25,65.6,33
108,서울,2018-03-26,64.5,30
108,서울,2018-03-27,61.1,36
108,서울,2018-03-28,66.4,42
108,서울,2018-03-29,66.3,36
108,서울,2018-03-30,55.6,24
108,서울,2018-03-31,52.9,27
108,서울,2018-04-01,68.8,50
108,서울,2018-04-02,64,41
108,서울,2018-04-03,72.9,50
108,서울,2018-04-04,67,40
108,서울,2018-04-05,90.6,61
108,서울,2018-04-06,71.6,40
108,서울,2018-04-07,45.5,17
108,서울,2018-04-08,59.6,25
108,서울,2018-04-09,57.9,21
108,서울,2018-04-10,51,26
108,서울,2018-04-11,49.4,20
108,서울,2018-04-12,30.5,12
108,서울,2018-04-13,22.9,13
108,서울,2018-04-14,78.8,24
108,서울,2018-04-15,65.5,46
108,서울,2018-04-16,41.9,20
108,서울,2018-04-17,37.9,21
108,서울,2018-04-18,35.4,14
108,서울,2018-04-19,38.8,15
108,서울,2018-04-20,46,26
108,서울,2018-04-21,32,8
108,서울,2018-04-22,57.4,29
108,서울,2018-04-23,93.9,85
108,서울,2018-04-24,63.3,36
108,서울,2018-04-25,37.8,18
108,서울,2018-04-26,51.9,22
108,서울,2018-04-27,52.9,27
108,서울,2018-04-28,49,24
108,서울,2018-04-29,43.1,22
108,서울,2018-04-30,61.6,42
108,서울,2018-05-01,72.8,58
108,서울,2018-05-02,90.4,75
108,서울,2018-05-03,62.4,45
108,서울,2018-05-04,45.5,25
108,서울,2018-05-05,46.8,27
108,서울,2018-05-06,86.4,60
108,서울,2018-05-07,60.3,26
108,서울,2018-05-08,50.9,36
108,서울,2018-05-09,50.4,31
108,서울,2018-05-10,67.4,44
108,서울,2018-05-11,59.8,36
108,서울,2018-05-12,89.3,50
108,서울,2018-05-13,82.5,61
108,서울,2018-05-14,71.4,45
108,서울,2018-05-15,56.4,31
108,서울,2018-05-16,93.8,62
108,서울,2018-05-17,97,80
108,서울,2018-05-18,86.8,66
108,서울,2018-05-19,47.5,31
108,서울,2018-05-20,32.1,22
108,서울,2018-05-21,43.9,24
108,서울,2018-05-22,75.5,48
108,서울,2018-05-23,57.1,27
108,서울,2018-05-24,47.4,24
108,서울,2018-05-25,47.4,22
108,서울,2018-05-26,50.1,27
108,서울,2018-05-27,47.4,30
108,서울,2018-05-28,49.8,34
108,서울,2018-05-29,69.3,50
108,서울,2018-05-30,69.8,35
108,서울,2018-05-31,58.9,35
108,서울,2018-06-01,50.4,30
108,서울,2018-06-02,44.5,20
108,서울,2018-06-03,39.4,19
108,서울,2018-06-04,50.1,27
108,서울,2018-06-05,52.5,31
108,서울,2018-06-06,62.9,44
108,서울,2018-06-07,69.3,37
108,서울,2018-06-08,68,47
108,서울,2018-06-09,60.6,35
108,서울,2018-06-10,59.9,47
108,서울,2018-06-11,67.3,45
108,서울,2018-06-12,65.5,40
108,서울,2018-06-13,64,46
108,서울,2018-06-14,74.9,55
108,서울,2018-06-15,60.8,38
108,서울,2018-06-16,56.4,36
108,서울,2018-06-17,66.9,43
108,서울,2018-06-18,54.9,31
108,서울,2018-06-19,61.3,41
108,서울,2018-06-20,68.1,41
108,서울,2018-06-21,60.1,32
108,서울,2018-06-22,45.1,20
108,서울,2018-06-23,50.6,28
108,서울,2018-06-24,62.8,28
108,서울,2018-06-25,57.1,31
108,서울,2018-06-26,88.3,47
108,서울,2018-06-27,81.9,65
108,서울,2018-06-28,85.1,61
108,서울,2018-06-29,78.5,56
108,서울,2018-06-30,83.8,65
108,서울,2018-07-01,94.6,84
108,서울,2018-07-02,95.4,84
108,서울,2018-07-03,74.4,47
108,서울,2018-07-04,69.6,51
108,서울,2018-07-05,72.8,58
108,서울,2018-07-06,57.8,49
108,서울,2018-07-07,51.4,42
108,서울,2018-07-08,51.5,36
108,서울,2018-07-09,82.3,61
108,서울,2018-07-10,87.8,74
108,서울,2018-07-11,82.9,66
108,서울,2018-07-12,82.4,73
108,서울,2018-07-13,74.8,58
108,서울,2018-07-14,69.6,51
108,서울,2018-07-15,69.6,46
108,서울,2018-07-16,64.3,40
108,서울,2018-07-17,66.5,45
108,서울,2018-07-18,64.8,41
108,서울,2018-07-19,64.1,40
108,서울,2018-07-20,62.6,41
108,서울,2018-07-21,53.6,29
108,서울,2018-07-22,49.6,30
108,서울,2018-07-23,53.8,41
108,서울,2018-07-24,59.5,40
108,서울,2018-07-25,66.3,50
108,서울,2018-07-26,68.8,51
108,서울,2018-07-27,69.3,48
108,서울,2018-07-28,77.1,53
108,서울,2018-07-29,52.4,32
108,서울,2018-07-30,50.9,35
108,서울,2018-07-31,50.5,32
108,서울,2018-08-01,55.5,35
108,서울,2018-08-02,54.4,38
108,서울,2018-08-03,55.3,39
108,서울,2018-08-04,60.6,46
108,서울,2018-08-05,71.8,50
108,서울,2018-08-06,71.6,49
108,서울,2018-08-07,63.4,43
108,서울,2018-08-08,64.8,35
108,서울,2018-08-09,76.3,58
108,서울,2018-08-10,60.9,37
108,서울,2018-08-11,55.8,34
108,서울,2018-08-12,61.3,39
108,서울,2018-08-13,68.6,47
108,서울,2018-08-14,58.3,34
108,서울,2018-08-15,59.5,34
108,서울,2018-08-16,51,36
108,서울,2018-08-17,39.8,25
108,서울,2018-08-18,44.6,28
108,서울,2018-08-19,50.6,29
108,서울,2018-08-20,55.6,41
108,서울,2018-08-21,71.4,49
108,서울,2018-08-22,54.1,34
108,서울,2018-08-23,59.1,48
108,서울,2018-08-24,86.3,73
108,서울,2018-08-25,68,50
108,서울,2018-08-26,70,41
108,서울,2018-08-27,91,82
108,서울,2018-08-28,92.4,72
108,서울,2018-08-29,86,72
108,서울,2018-08-30,80.9,62
108,서울,2018-08-31,67.4,40
108,서울,2018-09-01,59.4,38
108,서울,2018-09-02,55.8,38
108,서울,2018-09-03,85.3,67
108,서울,2018-09-04,69.4,43
108,서울,2018-09-05,63.5,36
108,서울,2018-09-06,69.9,42
108,서울,2018-09-07,54.6,32
108,서울,2018-09-08,48.8,29
108,서울,2018-09-09,49,26
108,서울,2018-09-10,49.5,33
108,서울,2018-09-11,48.1,37
108,서울,2018-09-12,52,39
108,서울,2018-09-13,63.5,45
108,서울,2018-09-14,66.9,51
108,서울,2018-09-15,76,61
108,서울,2018-09-16,83.6,58
108,서울,2018-09-17,64.3,32
108,서울,2018-09-18,59.8,33
108,서울,2018-09-19,59.1,34
108,서울,2018-09-20,82.4,57
108,서울,2018-09-21,85.8,72
108,서울,2018-09-22,62.3,24
108,서울,2018-09-23,52.9,27
108,서울,2018-09-24,48.3,27
108,서울,2018-09-25,48,23
108,서울,2018-09-26,47.9,32
108,서울,2018-09-27,47.6,28
108,서울,2018-09-28,58.1,45
108,서울,2018-09-29,55.5,31
108,서울,2018-09-30,52.5,27
108,서울,2018-10-01,55.1,32
108,서울,2018-10-02,61.4,35
108,서울,2018-10-03,58,33
108,서울,2018-10-04,56.5,34
108,서울,2018-10-05,84.1,55
108,서울,2018-10-06,84,56
108,서울,2018-10-07,53.5,29
108,서울,2018-10-08,47,21
108,서울,2018-10-09,52.5,33
108,서울,2018-10-10,61,38
108,서울,2018-10-11,51,31
108,서울,2018-10-12,54,32
108,서울,2018-10-13,54,26
108,서울,2018-10-14,60,28
108,서울,2018-10-15,69.9,40
108,서울,2018-10-16,55.9,27
108,서울,2018-10-17,53.3,16
108,서울,2018-10-18,59.5,37
108,서울,2018-10-19,54.3,28
108,서울,2018-10-20,53.9,19
108,서울,2018-10-21,49.5,21
108,서울,2018-10-22,50,29
108,서울,2018-10-23,75.1,61
108,서울,2018-10-24,66,37
108,서울,2018-10-25,55.5,28
108,서울,2018-10-26,74.1,55
108,서울,2018-10-27,49.6,30
108,서울,2018-10-28,77.1,53
108,서울,2018-10-29,57.3,37
108,서울,2018-10-30,51.3,31
108,서울,2018-10-31,55.4,33
108,서울,2018-11-01,53.4,28
108,서울,2018-11-02,54.9,29
108,서울,2018-11-03,56,21
108,서울,2018-11-04,55,23
108,서울,2018-11-05,65.5,35
108,서울,2018-11-06,70.5,49
108,서울,2018-11-07,79.5,67
108,서울,2018-11-08,93.8,70
108,서울,2018-11-09,69,46
108,서울,2018-11-10,69.1,34
108,서울,2018-11-11,67.6,47
108,서울,2018-11-12,52.3,31
108,서울,2018-11-13,51.6,33
108,서울,2018-11-14,55.5,27
108,서울,2018-11-15,55.4,29
108,서울,2018-11-16,65.1,44
108,서울,2018-11-17,50.8,29
108,서울,2018-11-18,48.8,33
108,서울,2018-11-19,50.4,30
108,서울,2018-11-20,39.9,16
108,서울,2018-11-21,57.1,27
108,서울,2018-11-22,35,19
108,서울,2018-11-23,29.6,15
108,서울,2018-11-24,71.1,25
108,서울,2018-11-25,77.8,49
108,서울,2018-11-26,70.1,41
108,서울,2018-11-27,65,31
108,서울,2018-11-28,27.1,12
108,서울,2018-11-29,41.4,26
108,서울,2018-11-30,46.1,16
108,서울,2018-12-01,42.3,24
108,서울,2018-12-02,50.1,44
108,서울,2018-12-03,87.4,47
108,서울,2018-12-04,74.9,42
108,서울,2018-12-05,39.5,25
108,서울,2018-12-06,50.5,31
108,서울,2018-12-07,37.1,20
108,서울,2018-12-08,37.1,20
108,서울,2018-12-09,27,16
108,서울,2018-12-10,33.3,18
108,서울,2018-12-11,44.8,24
108,서울,2018-12-12,39,20
108,서울,2018-12-13,57.4,33
108,서울,2018-12-14,44.3,29
108,서울,2018-12-15,46.8,28
108,서울,2018-12-16,63.8,53
108,서울,2018-12-17,60.1,31
108,서울,2018-12-18,56.3,35
108,서울,2018-12-19,53.4,17
108,서울,2018-12-20,45.5,27
108,서울,2018-12-21,40.1,28
108,서울,2018-12-22,48.9,26
108,서울,2018-12-23,43,21
108,서울,2018-12-24,35.9,16
108,서울,2018-12-25,53.4,33
108,서울,2018-12-26,40.8,17
108,서울,2018-12-27,28.3,16
108,서울,2018-12-28,33,23
108,서울,2018-12-29,29,18
108,서울,2018-12-30,35.9,23
108,서울,2018-12-31,39.6,16
108,서울,2019-01-01,49.5,34
108,서울,2019-01-02,42.8,20
108,서울,2019-01-03,38.8,18
108,서울,2019-01-04,55.5,34
108,서울,2019-01-05,40.3,20
108,서울,2019-01-06,35,19
108,서울,2019-01-07,46.4,28
108,서울,2019-01-08,31,20
108,서울,2019-01-09,28.8,17
108,서울,2019-01-10,48.8,27
108,서울,2019-01-11,58.8,39
108,서울,2019-01-12,47.6,32
108,서울,2019-01-13,54.3,21
108,서울,2019-01-14,68.6,50
108,서울,2019-01-15,58.8,30
108,서울,2019-01-16,45.9,17
108,서울,2019-01-17,45.8,19
108,서울,2019-01-18,44,21
108,서울,2019-01-19,59.8,44
108,서울,2019-01-20,38.5,19
108,서울,2019-01-21,57.8,40
108,서울,2019-01-22,62,42
108,서울,2019-01-23,48.9,17
108,서울,2019-01-24,34.9,11
108,서울,2019-01-25,27.6,18
108,서울,2019-01-26,30.9,20
108,서울,2019-01-27,52.5,28
108,서울,2019-01-28,40.4,17
108,서울,2019-01-29,35.5,18
108,서울,2019-01-30,54.6,39
108,서울,2019-01-31,29,18
108,서울,2019-02-01,47.6,27
108,서울,2019-02-02,60,46
108,서울,2019-02-03,92.9,53
108,서울,2019-02-04,40.4,17
108,서울,2019-02-05,37.1,17
108,서울,2019-02-06,54.9,34
108,서울,2019-02-07,45.5,18
108,서울,2019-02-08,31.5,18
108,서울,2019-02-09,30,20
108,서울,2019-02-10,31.3,22
108,서울,2019-02-11,34.9,19
108,서울,2019-02-12,35.5,22
108,서울,2019-02-13,26.6,15
108,서울,2019-02-14,24.3,16
108,서울,2019-02-15,72.8,30
108,서울,2019-02-16,59,38
108,서울,2019-02-17,47.4,23
108,서울,2019-02-18,43.5,27
108,서울,2019-02-19,80.8,36
108,서울,2019-02-20,67.8,48
108,서울,2019-02-21,59.4,32
108,서울,2019-02-22,56.1,28
